error_code;description
000908;Unable to create FIX from VolatilityUpdate message 
000908;Unable to send FIX from VolatilityUpdate message 
001003;Orders may not be entered while the market is closed/paused 
001007;FIX field missing or incorrect 
001010;Required field missing 
001011;FIX field incorrect 
001012;Price must be greater than zero 
001013;Invalid order qualifier 
001014;User not authorized to trade 
001016;Required field missing 'Stop orders cannot be IOC/FAK' 
001017;Required field missing 'Display Quantity orders cannot be IOC/FOK' 
001018;Required field missing 'Stop orders cannot be IOC/FOK' 
002013;Market price orders not supported by opposite limit 
002019;Order GTD Expire Date is before the current (or next, if not currently in a session) trading session end date 
002045;Cannot modify order because order does not exist 
002045;Order not in book 
002046;Disclosed Quantity cannot be greater than total or remaining quantity 
002047;Order contract is unknown  
002048;The Order was submitted with a different SenderCompID than the requesting Cancel  
002049;The Order was submitted with a different CLOrderID than the CorrelationClOrderID of the requesting Cancel  
002050;The Order was submitted with a different CLOrderID than the OriginalClOrderID of the requesting Cancel  
002051;The Order was submitted with a different side than the requesting Cancel  
002052;The Order was submitted with a different group (tag 55) than the requesting Cancel  
002053;The Order was submitted with a different security type than the requesting Cancel  
002054;The Order was submitted with a different account than the requesting Cancel  
002055;The Order was submitted with a different quantity than the requesting Cancel  
002056;The Order was submitted with a different TraderID than the requesting Cancel  
002057;Attempt to cancel an order with a different FirmID than the original order 
002058;Attempt to cancel an order with a different SenderLocationID than the original order 
002058;Stop price maxi-mini must be greater than or equal to trigger price  
002059;Stop price maxi-mini must be smaller than or equal to trigger price 
002060;Sell order stop price must be below last trade price 
002061;Buy order stop price must be above last trade price 
002100;The modify was submitted on a different product than the original order 
002101;Attempt to modify an order with a different in-flight-fill mitigation status than first modification 
002101;Attempt to modify an order currently taking part in an RFC process 
002102;Attempt to modify an order with a different SenderCompID than the original order 
002103;Attempt to modify an order with a different TraderID than the original order 
002104;Attempt to modify an order with a different AccountID than the original order 
002105;Attempt to modify an order with a different FirmID than the original order 
002106;Attempt to modify an order with a different SenderLocationID than the original order 
002107;Disclosed Quantity is not allowed 
002108;Account or Give Up firm required for DMA customers 
002109;Disclosed Qty cannot be less than Disclosed Qty Min 
002110;Acct Type(38) not valid for Tag 581 for DMA customers 
002111;Give Up not valid for FX Spot contract 
002112;Visibility Permission Not granted for Executing Trader/Entering Trader  
002113;Executing Trader doesn't have access to Product Group  
002114;Attempt to modify market order to some other type  
002115;Order quantity is outside of the allowable range 
002116;Account is mandatory for FX SPOT 
002117;Order On Behalf by DMA customer is not allowed 
002118;Attempt to modify an order with a different AccountType than the original order 
002123;Account or Give Up firm required for equities 
002130;Order type not permitted while the market is in pre open 
002130;Order type not permitted while the market is in PCP 
002137;Order price is outside limits 
002138;Qty is not multiple of Round Lot 
002139;Qty is greater or equal than Maximum Trade Volume 
002179;Order price is outside bands 
002180;Order price is outside auction bands 
002181;Trade outside of short term volatility bands 
002182;All Legs must have same Lot Types 
002183;All Legs must have same Tick Increment 
002184;All Legs must have same Step of Quotation 
002185;Trade price is outside of static limits 
002186;COD Not Supported for GTC/ GTD Orders 
002187;Order not bookable at this time 
002188;Minimum Quantity was not Filled 
002189;Order Attributes Not Allowed to Trip an Auction 
002311;Order type not permitted for group 
002500;Instrument has an request for cross in progress 
002501;Order Quantity too low 
002502;CrossType ineligible for instrument 
002503;RFQ for Cross is not allowed since contract is not RFQ for Cross eligible 
002504;DMA CrossOrder Not allowed 
002505;Cross Order Rejected due to Auction Trigger Validation 
002506;Trade on Behalf Rejected. 
002600;Market Maker Protection in effect for user <XXXXXXXX> and group <XXXXXX> 
003000;RFQ rejected, instrument/exchange not tradable 
003001;RFQ rejected, instrument/exchange not known 
003002;Error creating contract 
003010;Business reject: Other 
003011;Business reject: Unknown ID 
003012;Business reject: Unknown security 
003013;Business reject: Unsupported message type 
003014;Business reject: Application Not Available 
003015;Business reject: Required field missing 
003016;Contract claims to be a spread but is missing one or more legs 
003017;Fix Field Length Exceeds Max Length 
003020;Special Auction Permissions: 'Order entry not allowed.' 
004000;Engine did not respond to FAS request 
006001;Termo message rejected : Unknown instrument 
006002;Termo message rejected : Exchange (security) closed 
006003;Termo rejected, instrument/exchange not tradable 
006004;Termo message rejected: Limits exceeded 
006005;Termo message rejected: Too late to enter 
006006;Termo message rejected: Unknown Termo Quote 
006007;Termo message rejected: Duplicate Termo Quote 
006008;Termo message rejected: Invalid bid/ask spread 
006009;Termo message rejected: Invalid price 
006010;Termo message rejected: Not authorized to termo quote this instrument 
006011;Termo message rejected: Pass 
006012;Fix field incorrect 
006013;Not a valid termo instrument 
006014;Values don`t match with the original request 
006015;Current termo request status does not allow rejection 
006016;Current termo request status does not allow acceptance 
006017;Wrong type of order book for Termo. 
006018;Wrong type of request for Termo. 
006019;Days to Settlement must be between 16 and 999. 
006020;Days to Settlement must be between 16 and 90 
006021;Instrument not allowed to this market. 
006022;Instrument not allowed to this market. 
006023;Termo Price should be greater than zero. 
006024;Termo messages should not be entered when market is paused 
006025;Termo messages should not be entered when market is pre open 
006026;Termo messages should not be entered when market is PCP 
006027;Termo messages should not be entered when market is no cancel 
006028;Termo messages should not be entered when market is reserved 
006029;Termo messages should not be entered when market is forbidden 
006030;Termo messages should not be entered when market is pre close 
006031;Termo messages should not be entered when market is pre open 
006032;Not a valid Termo Underlying Instrument. 
006033;Received a null AdminOperation 
006034;First trade of day for underlying termo instrument 
006035;Termo messages should not be entered when market is in final closing call 
006036;Invalid Cash Trade in TVR 
006037;Only Buy Entry Request for TVR is accepted 
006038;There is no bid and ask for underlying contract 
006039;Invalid price 
006040;Invalid Cash Trade in TVR 
006041;Invalid Cash Trade in TVR 
006042;Invalid Cash Trade in TVR 
006043;Invalid Cash Trade in TVR 
006044;Invalid Cash Trade in TVR 
007000;Order rejected 
007001;FOK order unmatchable in market 
007002;Orders may not be entered while the market is closed 
007005;Order contract is unknown 
007006;No partial match found for this FAK order 
007008;Maximum quantity depth for any one price group max may not exceed + Integer.MAX_VALUE 
