#CNPJ;NAME;CVMCODE;STATUS_DATE;STATUS
31.694.680/0001-14;A C M AGRICOLA SA;505480;2008-11-19;CANCELED
08.690.448/0001-96;A G HOTEIS E TURISMO SA;502316;2007-08-24;CANCELED
92.659.614/0001-06;A J RENNER SA IND E PARTIP;35;1998-06-17;CANCELED
04.895.165/0001-20;A M FIDALGO SA MAT DE CONSTR;504076;2008-09-28;CANCELED
06.932.909/0001-64;A O GASPAR INDS SA;503592;2012-02-14;CANCELED
02.288.752/0001-25;A.P. PARTICIPAÇOES SA;16802;2004-12-23;CANCELED
21.649.280/0001-33;ABC DADOS E INFORMATICA SA;13307;1993-03-05;CANCELED
02.258.274/0001-00;ABC SUPERMERCADOS SA;16934;2001-12-17;CANCELED
42.275.727/0001-21;ABC XTAL MICROELETRONICA SA;13005;1997-09-11;CANCELED
34.033.779/0001-63;ABN AMRO ARRENDAMENTO MERCANTIL SA;15270;2009-09-30;CANCELED
44.597.052/0001-62;ABRIL SA;14370;1999-12-21;CANCELED
07.794.351/0001-60;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;20206;2010-05-28;CANCELED
10.416.907/0001-90;ACACIA EMPREEND HOTELEIROS SA;501832;2012-02-14;CANCELED
09.557.372/0001-98;ACARY HOTELARIA S/A;503908;2012-02-14;CANCELED
12.293.130/0001-49;ACOFORTE MOVEIS E EQUIP SA;513911;2004-05-11;CANCELED
18.451.005/0001-04;ACOPALMA CIA INDL ACOS V PALMA;60;2007-08-07;CANCELED
14.038.517/0001-84;ACORRICO SA IND E COM;505315;2008-09-28;CANCELED
61.150.660/0001-43;ACOS ANHANGUERA SA;78;1994-02-09;CANCELED
60.890.688/0001-54;ACOS DO BRASIL SA IND E COM;86;1989-12-14;CANCELED
92.767.409/0001-56;AÇOS FINOS PIRATINI S/A;14508;1995-09-05;CANCELED
60.852.316/0001-33;ACOS IPANEMA (VILLARES) SA;10715;1993-01-11;CANCELED
60.664.810/0001-74;AÇOS VILLARES SA;108;2010-12-30;CANCELED
42.581.520/0001-85;ACQUA SA AQUICULTURA;518425;2005-11-04;CANCELED
39.303.847/0001-80;ACQUAMANIA MULTIPLO LAZER S/A;515230;2012-02-14;CANCELED
13.546.353/0001-33;ACRINOR ACRILONITRILA DO NE SA;116;2000-02-21;CANCELED
07.825.881/0001-29;ACRUX SECURITIZADORA S/A;20230;2016-02-04;CANCELED
02.808.627/0001-07;ACTORI PARTICIPAÇÕES SA;18040;2002-04-24;CANCELED
47.080.619/0001-17;AÇUCAR GUARANI S/A;20940;2010-08-13;CANCELED
09.811.654/0001-70;ACUMULADORES MOURA SA;502944;2006-09-11;CANCELED
28.392.009/0001-04;ADCART INDUSTRIAL S. A.;515574;2008-09-28;CANCELED
39.791.330/0001-88;ADCART PRODUTOS ADESIVOS S A..;515604;2008-09-28;CANCELED
43.631.183/0001-56;ADEPAR ASSESSORIA ADM SERV SA;7625;1989-08-02;CANCELED
11.029.808/0001-18;ADESENE ADESIVOS NO NORDESTE SA;132;2005-08-09;CANCELED
11.059.144/0001-30;ADESIVA SA IND DE EMBALAGENS;502162;2008-09-28;CANCELED
10.521.581/0001-60;ADUBOS FERTIBOM SA;513148;2008-09-28;CANCELED
17.157.215/0001-13;ADUBOS VIANNA SA INDUSTRIA E COMERCIO;159;2005-12-20;CANCELED
10.345.009/0001-98;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;21725;2009-06-24;ACTIVE
08.827.501/0001-58;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;23396;2014-05-21;ACTIVE
33.037.169/0001-75;AEROFOTO CRUZEIRO SA;167;1992-12-01;CANCELED
01.917.705/0001-30;AES ELPA SA;19313;2018-09-05;CANCELED
04.128.563/0001-10;AES TIETÊ ENERGIA S.A;18970;2001-06-29;ACTIVE
02.998.609/0001-27;AES TIETE SA;18350;2015-12-31;CANCELED
07.798.325/0001-00;AESA AGROPEC EQUATORIAL SA;513962;2008-09-28;CANCELED
02.808.481/0001-91;AETATIS SECURITIZADORA S.A.;18104;2016-06-24;CANCELED
10.324.085/0001-17;AFAL S/A IND E COM PRODS METAL;508349;2012-02-14;CANCELED
08.326.274/0001-87;AFASA-AGUA FRIA AGROPEC SA;505900;2008-09-28;CANCELED
07.620.094/0001-40;AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;20150;2017-11-24;CANCELED
10.338.320/0001-00;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;22179;2010-09-24;ACTIVE
10.869.998/0001-19;AGANOR GASES E EQUIPAMENTOS SA;513466;2005-10-05;CANCELED
31.468.139/0001-98;AGB CASA DE PEDRA SECURITIZADORA DE CRÉDITO S.A.;24643;2019-02-13;ACTIVE
61.573.796/0001-66;AGF BRASIL SEGUROS SA;12343;2005-05-30;CANCELED
33.058.793/0001-59;AGGS INDS GRAFICAS SA;175;1987-05-04;CANCELED
61.442.752/0001-05;AGIP DISTRIBUIDORA SA;3921;2000-01-14;CANCELED
24.111.809/0001-59;AGIR AGRESTE INDL DE RAFIA SA;517070;2012-02-14;CANCELED
07.468.069/0001-93;AGISA AGROPAST E INDL SA;510580;2008-09-28;CANCELED
06.722.441/0001-83;AGNORD IND C CONF AGUIA NE SA;503487;2012-02-14;CANCELED
07.698.047/0001-10;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;20664;2010-05-28;CANCELED
88.610.324/0001-92;AGRALE SA;183;2000-06-26;CANCELED
11.040.082/0001-14;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;21911;2010-07-19;CANCELED
-;AGRENCO LIMITED;80080;2017-05-16;CANCELED
63.235.436/0001-80;AGRICOLA BEBEDOURO SA;515221;2012-02-14;CANCELED
13.719.224/0001-08;AGRICOLA BEIRA RIO SA;500720;2000-11-21;CANCELED
04.335.238/0001-29;AGRICOLA MISTA MARAJOARA SA - AGRIMAR;518921;2009-10-21;CANCELED
15.144.603/0001-34;AGRICOLA NOVO HORIZONTE SA;512095;2012-02-14;CANCELED
09.319.567/0001-08;AGRICOLA VALE DO MANGEREBA SA;507032;1993-12-23;CANCELED
41.153.636/0001-50;AGRICOLA VALE DO MENDONCA SA;516554;2008-09-28;CANCELED
27.751.452/0001-61;AGRÍCOLA VALE VERDE SA;507407;2012-02-14;CANCELED
27.751.452/0001-61;AGRÍCOLA VALE VERDE SA;519871;2014-09-16;CANCELED
22.974.380/0001-06;AGRICULTURA MECANIZADA S/A;511005;2012-10-24;CANCELED
88.070.990/0001-85;AGRILEASING SA ARREND MERC;191;1985-09-30;CANCELED
04.986.857/0001-83;AGRIMISA AGROPEC IND MIN PA SA;507008;2008-09-28;CANCELED
21.356.787/0001-07;AGRINCO-AGROPEC,IND E COM SA;510076;1991-02-01;CANCELED
07.467.822/0001-26;AGRIPEC QUIM E FARMAC;501808;2007-01-12;CANCELED
05.763.669/0001-59;AGRO AGRI RONDONIA SA;503460;2012-02-14;CANCELED
04.523.403/0001-76;AGRO IND JURUPARI ACRE SA;504548;2004-09-23;CANCELED
04.167.904/0001-67;AGRO INDL ITAPIRANGA SA;517216;2008-09-28;CANCELED
07.561.855/0001-30;AGRO INDL JAGUARUANA SA;509949;2012-02-14;CANCELED
13.642.699/0001-35;AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A;516147;1994-10-21;ACTIVE
34.738.393/0001-57;AGRO MECANIZ AGRI RONDONIA SA;509264;2012-02-14;CANCELED
09.273.145/0001-30;AGRO MERCANTIL URTIGAS SA AMUSA;520357;2016-03-30;CANCELED
09.242.066/0001-62;AGRO PASTORIL ANGICOS S. A....;515663;2012-02-14;CANCELED
