#Nome de Pregao;Tipo da Acao;Data da Aprovacao;Valor do Provento R$;Provento por 1 ou 1000 AcÑes;Tipo do Provento;"Ultimo Dia ""Com""";"Data do Ultimo Preco ""Com""";"Ultimo Preco ""Com""";Preco por 1 ou 1000 Acoes;Provento/ Preco %
ABC BRASIL;OR;20/12/2007;0,32;1;JRS CAP PROPRIO;20/12/2007; ;0;1; 
ABC BRASIL;OR;31/03/2008;0,12;1;JRS CAP PROPRIO;31/03/2008;;0;1;
ABC BRASIL;OR;30/06/2008;0,12;1;JRS CAP PROPRIO;30/06/2008;;0;1;
ABC BRASIL;OR;30/09/2008;0,13;1;JRS CAP PROPRIO;30/09/2008;;0;1;
ABC BRASIL;OR;30/12/2008;0,13;1;JRS CAP PROPRIO;30/12/2008;;0;1;
ABC BRASIL;OR;31/03/2009;0,13;1;JRS CAP PROPRIO;31/03/2009;;0;1;
ABC BRASIL;OR;30/06/2009;0,13;1;JRS CAP PROPRIO;30/06/2009;;0;1;
ABC BRASIL;OR;30/09/2009;0,12;1;JRS CAP PROPRIO;30/09/2009;;0;1;
ABC BRASIL;OR;30/12/2009;0,13;1;JRS CAP PROPRIO;30/12/2009;;0;1;
ABC BRASIL;OR;31/03/2010;0,13;1;JRS CAP PROPRIO;31/03/2010;;0;1;
ABC BRASIL;OR;30/06/2010;0,13;1;JRS CAP PROPRIO;30/06/2010;;0;1;
ABC BRASIL;OR;30/09/2010;0,14;1;JRS CAP PROPRIO;30/09/2010;;0;1;
ABC BRASIL;OR;30/12/2010;0,14;1;JRS CAP PROPRIO;30/12/2010;;0;1;
ABC BRASIL;OR;31/03/2011;0,14;1;JRS CAP PROPRIO;31/03/2011;;0;1;
ABC BRASIL;OR;30/06/2011;0,15;1;JRS CAP PROPRIO;30/06/2011;;0;1;
ABC BRASIL;OR;30/09/2011;0,15;1;JRS CAP PROPRIO;30/09/2011;;0;1;
ABC BRASIL;OR;29/12/2011;0,16;1;JRS CAP PROPRIO;29/12/2011;;0;1;
ABC BRASIL;OR;29/06/2012;0,33;1;JRS CAP PROPRIO;02/07/2012;;0;1;
ABC BRASIL;OR;28/12/2012;0,308;1;JRS CAP PROPRIO;02/01/2013;;0;1;
ABC BRASIL;OR;27/06/2013;0,296649;1;JRS CAP PROPRIO;28/06/2013;;0;1;
ABC BRASIL;PR;20/12/2007;0,32;1;JRS CAP PROPRIO;20/12/2007;20/12/2007;11,6;1;2,758621
ABC BRASIL;PR;31/03/2008;0,12;1;JRS CAP PROPRIO;31/03/2008;31/03/2008;9,6;1;1,25
ABC BRASIL;PR;30/06/2008;0,12;1;JRS CAP PROPRIO;30/06/2008;30/06/2008;9,35;1;1,283422
ABC BRASIL;PR;30/09/2008;0,13;1;JRS CAP PROPRIO;30/09/2008;30/09/2008;5,59;1;2,325581
ABC BRASIL;PR;30/12/2008;0,13;1;JRS CAP PROPRIO;30/12/2008;30/12/2008;5,19;1;2,504817
ABC BRASIL;PR;31/03/2009;0,13;1;JRS CAP PROPRIO;31/03/2009;31/03/2009;5,66;1;2,29682
ABC BRASIL;PR;30/06/2009;0,13;1;JRS CAP PROPRIO;30/06/2009;30/06/2009;7,45;1;1,744966
ABC BRASIL;PR;30/09/2009;0,12;1;JRS CAP PROPRIO;30/09/2009;30/09/2009;10,5;1;1,142857
ABC BRASIL;PR;30/12/2009;0,13;1;JRS CAP PROPRIO;30/12/2009;30/12/2009;11,8;1;1,101695
ABC BRASIL;PR;31/03/2010;0,13;1;JRS CAP PROPRIO;31/03/2010;31/03/2010;13,57;1;0,957996
ABC BRASIL;PR;30/06/2010;0,13;1;JRS CAP PROPRIO;30/06/2010;30/06/2010;12,16;1;1,069079
ABC BRASIL;PR;30/09/2010;0,14;1;JRS CAP PROPRIO;30/09/2010;30/09/2010;17;1;0,823529
ABC BRASIL;PR;30/12/2010;0,14;1;JRS CAP PROPRIO;30/12/2010;30/12/2010;14,62;1;0,957592
ABC BRASIL;PR;31/03/2011;0,14;1;JRS CAP PROPRIO;31/03/2011;31/03/2011;12,4;1;1,129032
ABC BRASIL;PR;30/06/2011;0,15;1;JRS CAP PROPRIO;30/06/2011;30/06/2011;11,72;1;1,279863
ABC BRASIL;PR;30/09/2011;0,15;1;JRS CAP PROPRIO;30/09/2011;30/09/2011;9,47;1;1,583949
ABC BRASIL;PR;29/12/2011;0,16;1;JRS CAP PROPRIO;29/12/2011;29/12/2011;12,47;1;1,283079
ABC BRASIL;PR;29/06/2012;0,33;1;JRS CAP PROPRIO;02/07/2012;02/07/2012;9,72;1;3,395062
ABC BRASIL;PR;28/12/2012;0,308;1;JRS CAP PROPRIO;02/01/2013;02/01/2013;14,15;1;2,176678
