#SYMBOL;DESCRIPTION;ISIN;SYMBOL_TYPE;CURRENCY_BASE;CONTRACT_SIZE;TICK_SIZE;TICK_VALUE;DIGITS;MIN_VOLUME;MAX_VOLUME;STEP_VOLUME;START_TIME;EXPIRATION_TIME;OPTION_MODE;OPTION_RIGHT;OPTION_STRIKE
PETRA71;PETR        PN   11,00;BRPETR4A0HW1;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.01.16 20:59:00;0;0;0.00000000
PETRA76;PETR        PN   16,50;BRPETR4A0HT7;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.01.16 20:59:00;0;0;0.00000000
PETRA81;PETR        PN   11,50;BRPETR4A0HX9;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.01.16 20:59:00;0;0;0.00000000
PETRB18;PETR        PN    8,00;BRPETR4B0HU4;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRB19;PETRE       PN    9,70;BRPETR4B0HW0;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRB48;PETR        PN    8,20;BRPETR4B0HV2;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRB54;PETRE       PN    5,70;BRPETR4B0J47;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRB6;PETRE       PN   10,25;BRPETR4B0HX8;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRB7;PETRE       PN   10,75;BRPETR4B0HY6;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.02.20 20:59:00;0;0;0.00000000
PETRC31;PETR        PN   11,00;BRPETR4C0GM2;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.03.20 20:59:00;0;0;0.00000000
PETRC78;PETR        PN    7,80;BRPETR4C0IO4;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.03.20 20:59:00;0;0;0.00000000
PETRH21;PETR        PN   21,00;BRPETR4H0H95;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH22;PETR        PN   22,00;BRPETR4H0HB8;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH24;PETRE       PN    8,70;BRPETR4H0JA6;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH25;PETR        PN   10,00;BRPETR4H0JB4;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH3;PETRE       PN    8,30;BRPETR4H0J28;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH30;PETR        PN   30,00;BRPETR4H0HE2;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH31;PETR        PN   31,00;BRPETR4H0HG7;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH33;PETRE       PN   13,75;BRPETR4H0J02;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH51;PETR        PN   21,50;BRPETR4H0HA0;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH55;PETRE       PN   15,25;BRPETR4H0J10;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH60;PETR        PN   30,50;BRPETR4H0HF9;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH61;PETRE       PN    9,50;BRPETR4H0L16;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.08.21 20:59:00;0;0;0.00000000
PETRH94;PETR        PN    9,40;BRPETR4H0JG3;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.08.15 20:59:00;0;0;0.00000000
PETRH99;PETR        PN   19,00;BRPETR4H0L32;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2017.08.21 20:59:00;0;0;0.00000000
PETRI10;PETR        PN   10,00;BRPETR4I0H85;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.09.19 20:59:00;0;0;0.00000000
PETRI11;PETR        PN   11,00;BRPETR4I0H28;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.09.19 20:59:00;0;0;0.00000000
PETRI12;PETR        PN   12,00;BRPETR4I0HE1;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.09.19 20:59:00;0;0;0.00000000
PETRI14;PETR        PN   14,00;BRPETR4I0H93;32;BRL;1.0;0.01;0.01;2;100.0;56020428.0;100.0;1970.01.01 00:00:00;2016.09.19 20:59:00;0;0;0.00000000
