#SecSpeciID;Description
ON;AÇÕES ORDINÁRIAS NOMINATIVAS
PNA;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE A
PNB;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE B
PNC;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE C
PND;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE D
PNE;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE
PNF;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE F
PNG;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE G
PNH;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE H
PN;AÇÕES PREFERENCIAIS NOMINATIVAS
PNV;AÇÕES PREFERENCIAIS NOMINATIVAS COM DIREITO A VOTO
OR;AÇÕES ORDINÁRIAS NOMINATIVAS RESGATÁVEIS
PRA;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE A RESGATÁVEIS
PRB;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE B RESGATÁVEIS
PRC;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE C RESGATÁVEIS
PRD;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE D RESGATÁVEIS
PRE;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE E RESGATÁVEIS
PRF;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE F RESGATÁVEIS
PRG;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE G RESGATÁVEIS
PRH;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE H RESGATÁVEIS
PNR;AÇÕES PREFERENCIAIS NOMINATIVAS RESGATÁVEIS
PRV;AÇÕES PREFERENCIAIS NOMINATIVAS COM DIREITO A VOTO RESG
ON P;AÇÕES ORDINÁRIAS NOMINATIVAS COM DIREITOS DIFERENCIADOS
PNA P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE A C/ DIREITOS DIFER
PNB P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE B C/ DIREITOS DIFER
PNC P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE C C/ DIREITOS DIFER
PND P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE D C/ DIREITOS DIFER
PNE P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE E C/ DIREITOS DIFER
PNF P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE F C/ DIREITOS DIFER
PNG P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE G C/ DIREITOS DIFER
PNH P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE H C/ DIREITOS DIFER
PN P;AÇÕES PREFERENCIAIS NOMINATIVAS COM DIREITOS DIFERENCIADOS
PNV P;AÇÕES PREFERENCIAIS NOMINATIVAS CLASSE V C/ DIREITOS DIFER
BDR;BDR
UNT;CERTIFICADO DE DEPOSITO DE AÇÕES(UNITS) - MISCELÂNEA
CDA;CERTIFICADO DE DEPOSITO DE AÇÕES ORDINÁRIAS
CPA;CERTIFICADOS DE POTENCIAL ADICIONAL DE CONSTRUÇÃO E OPERAÇÃO
RON;CESTA DE AÇÕES ORDINÁRIAS NOMINATIVAS
R;CESTA DE AÇÕES NOMINATIVAS
CI;FUNDO DE INVESTIMENTO
DIR;DIREITOS DE SUBSCRIÇÃO MISCELÂNEA (BÔNUS, DEBÊNTURES, ETC)
