Categoria;Sigla;Descricao;Tipo de Ativo 
D;ADA;ALONGAMENTO DA DIVIDA AGRICOLA;ADA 
D;BBC;BONUS DO BANCO CENTRAL;BBC 
D;BTN-BIB;BONUS DO TESOURO NACIONAL;BTN 
D;CCB;CEDULA DE CREDITO BANCARIO;CC 
D;CCCB;CERTIFICADO DE CEDULA DE CREDITO BANCARIO;CCC 
D;CCE;CEDULAS DE CREDITO A EXPORTACAO;CCE 
D;CCIM;CEDULA DE CREDITO IMOBILIARIO;CCI 
D;CDA AGRO;CERTIFICADO DE DEPOSITO AGROPECUARIO;CA 
D;CDB;CERTIFICADO DE DEPOSITO BANCARIO;C 
D;CDB ANTIGO;CERTIFICADO DE DEPOSITO BANCARIO;CDB 
D;CDBS;CERTIFICADO DE DEPOSITO BANCARIO SUBORDINADO;CDS 
D;CDCA;CERTIFICADOS DE DIREITOS CREDITORIOS DO AGRONEGOCIO;CDC 
D;CDEB;CEDULA DE DEBENTURES;CDE 
D;CDP-INSS;CERTIFICADO DA DIVIDA PUBLICA MOBILIARIA FEDERAL - CDP/INSS;CDP 
D;CEDULA DEB;CEDULA PIGNORATICIA DE DEBENTURES;CPD 
D;CFT;CERTIFICADO FINANCEIRO DO TESOURO;CFT 
D;CML;CERTIFICADO DE DEPOSITO DE MEDIO OU LONGO PRAZO;CML 
D;CP BACEN;CERTIFICADO DE PRIVATIZACAO BACEN;CPB 
D;CP CETIP;CERTIFICADO DE PRIVATIZACAO CETIP;CPC 
D;CPR;CEDULA REPRESENTATIVA DE PRODUTO RURAL;PR 
D;CPR2;CEDULA REPRESENTATIVA DE PRODUTO RURAL;RR 
D;CPR3;CEDULA REPRESENTATIVA DE PRODUTO RURAL;RU 
D;CPR4;CEDULA REPRESENTATIVA DE PRODUTO RURAL;RL 
D;CPR5;CEDULA REPRESENTATIVA DE PRODUTO RURAL;RA 
D;CPR6;CEDULA REPRESENTATIVA DE PRODUTO RURAL;RP 
D;CRA;CERTIFICADOS DE RECEBIVEIS DO AGRONEGOCIO;CRA 
D;CRC;CONTAS DE RESULTADOS A COMPENSAR - CRC;CRC 
D;CRI;CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS;CRI 
D;CSEC;CREDITO SECURITIZADO;CSC 
D;CTEE;CERTIFICADOS A TERMO DE ENERGIA ELETRICA;CTE 
D;DEB MISC;DEBENTURES MISCELANEAS;DBM 
D;DEB OR;DEBENTURES CONVERSIVEIS EM ACOES ORDINARIAS;DBO 
D;DEB PR;DEBENTURES CONVERSIVEIS EM ACOES PREFERENCIAIS;DBP 
D;DEB SIMPL;DEBENTURES SIMPLES;DBS 
D;DI;DEPOSITO INTERFINANCEIRO;DI 
D;DPGE;DEPOSITO A PRAZO COM GARANTIA EPECIAL DO FGC;DP 
D;LAM;LETRA DE ARRENDAMENTO MERCANTIL;LAM 
D;LBC;LETRAS DO BANCO CENTRAL;LBC 
D;LC;LETRA DE CAMBIO;LC 
D;LCA;LETRA DE CREDITO DO AGRONEGOCIO;LA 
D;LCI;LETRA DE CREDITO IMOBILIARIO;LIC 
D;LF;LETRA FINANCEIRA;LFI 
D;LFT;LETRAS FINANCEIRAS DO TESOURO;LF 
D;LFT-A;LETRAS FINANCEIRAS DO TESOURO SERIE A;LFA 
D;LFT-B;LETRAS FINANCEIRAS DO TESOURO SERIE B;LFB 
D;LFT1;LETRAS FINANCEIRAS DO TESOURO;LFT 
D;LH;LETRA HIPOTECARIA;LH 
D;LTN;LETRAS DO TESOURO NACIONAL;LTN 
D;NBC;NOTAS DO BANCO CENTRAL;NBC 
D;NCE;NOTAS DE CREDITO A EXPORTACAO;NCE 
D;NJF;NOTAS A JUROS FLUTUANTES;NJF 
D;NOTAS;NOTAS;NOT 
D;NP;NOTA PROMISSORIA;NPM 
